provider_name,mapped_name
2010 Eye & Cataract Centre Limited,2011 Eye & Cataract Centre Limited
Aberdeen Physiotherapy Centre Ltd,Aberdeen Physiotherapy Centre Ltd
Actmax Ltd,Human Health Associate Limited
Advance X-Ray & Medical Diagnostic Centre Ltd.,Advance X-Ray & Medical Diagnostic Centre Ltd.
All Well Family Practice,All Well Family Practice
Anchor Oncology Hematology Centre,Anchor Oncology Hematology Centre
Apex MRI Centre Ltd,Apex MRI Centre Ltd
Aptorum Medical Limited,Aptorum Medical Limited
ASA Physiotherapy Clinic,ASA Physiotherapy Clinic
Astella Medical Centre Company Limited,Astella Medical Centre Company Limited
Austin Specialists Medical Centre Limited,Austin Specialists Medical Centre Limited
Axon Scanning Centre Ltd,UMP Professional Management Limited
B8 Corporation Limited,B8 Corporation Limited
Be Health Specialist Limited,Human Health Associate Limited
BNS Central Medical Imaging Limited,BNS Central Medical Imaging Limited
BodyQ Limited,BodyQ Limited
Bone & Muscle Limited,Bone & Muscle Limited
Boundless Limited,Boundless Limited
Brainchild International Limited,Brainchild International Limited
Bupa (Asia) Ltd. (Amendment),Bupa (Asia) Ltd.
Byrne & Hickman Limited,Byrne & Hickman Limited
Canadian Asian Neck & Back Institute,Canadian Asian Neck & Back Institute
Causeway Bay MRI Centre Limited,UMP Professional Management Limited
Central Health at Discovery Bay,Central Health Medical Practice
Central Health Medical Practice,Central Health Medical Practice
Central Medical Diagnostic Centre Limited,Quality HealthCare Medical Services Ltd (QHMS)
Central PET/CT Scan Centre Limited,Quality HealthCare Medical Services Ltd (QHMS)
Central Urology Clinic Limited,Central Urology Clinic Limited
Central Vascular Clinic Limited,Virtus Medical Group Limited
Centre for Orthopaedic Surgery Limited,Centre for Orthopaedic Surgery Limited
Champion Eye Centre Limited,Champion Eye Centre Limited
CHC Group Medical Practice,CHC Group Medical Practice
Checed Family Medicine Clinic Limited,Checed Family Medicine Clinic Limited
Chiron Healthcare Group Limited,Chiron Healthcare Group Limited
Chuncare Medical Centre Limited,Chuncare Medical Centre Limited
Chung Pui Chek Chuen Limited,Chung Pui Chek Chuen Limited
City Health Centre (Shatin),City Health Centre
Citynet Limited,Citynet Limited
Cordiscare Limited,Cordiscare Limited
Creative Medical Development Limited,Creative Medical Development Limited
Diagnostix Medical Centre,Diagnostix Medical Centre
Doctor Chong Kin-Ki,Doctor Chong Kin-Ki
Doctor Norman Chan Nor,Doctor Norman Chan Nor
Doctor Tso Lui Ming Clinic,Doctor Tso Lui Ming Clinic
Doctor Wong Lu Si's Clinic,Doctor Wong Lu Si's Clinic
Doctors & Partners Limited,Doctors & Partners Limited
Dr Chan Chi Kin Cardiology Limited,Dr Chan Chi Kin Cardiology Limited
Dr Clement Lam Medical Practice,Dr Clement Lam Medical Practice
Dr Jacqueline Medical Company Limited,Dr Jacqueline Medical Company Limited
Dr Kung Wing Ho Clinic,Dr Kung Wing Ho Clinic
Dr Man Ho Yin Medical Clinic,Dr Man Ho Yin Medical Clinic
Dr Ng Ching Wah Jennie's Clinic,Dr Ng Ching Wah Jennie's Clinic
Dr Raymond W K Wong Medical Centre,Dr Raymond W K Wong Medical Centre
Dr Vincent TC Leung Clinic,Dr Vincent TC Leung Clinic
Dr. Alex C W Chan & Dr Calvin W K Cheung,Dr. Alex C W Chan & Dr Calvin W K Cheung
Dr. Ann Yuk Sau Pei's Medical Clinic,Dr. Ann Yuk Sau Pei's Medical Clinic
Dr. Anne Spooner & Associates Limited,Dr. Anne Spooner & Associates Limited
Dr. Anthony W. K. Ng,Dr. Anthony W. K. Ng
Dr. Au Wing Wah,Dr. Au Wing Wah
Dr. Au Yeong Chi Keung,Dr. Au Yeong Chi Keung
Dr. Belinda K.S. Chan's Clinic,Dr. Belinda K.S. Chan's Clinic
Dr. Chan Chi Tak,Dr. Chan Chi Tak
Dr. Chan Cho Ying George,Dr. Chan Cho Ying George
Dr. Chan Kam Yue,Dr. Chan Kam Yue
Dr. Chan Kin Hing,Dr. Chan Kin Hing
Dr. Chan Koon Hung Kenneth,Dr. Chan Koon Hung Kenneth
Dr. Chan Kung Yat,Dr. Chan Kung Yat
Dr. Chan Kwing Wing,Dr. Chan Kwing Wing
Dr. Chan Man Yee Clinic,Dr. Chan Man Yee Clinic
Dr. Chan Sai Lock Patrick,Dr. Chan Sai Lock Patrick
Dr. Chan Shek Hoi,Dr. Chan Shek Hoi
Dr. Chan Siu Man Bernard,Dr. Chan Siu Man Bernard
Dr. Chan Suen Ho Mark,Dr. Chan Suen Ho Mark
Dr. Chan Suk Yin,Dr. Chan Suk Yin
Dr. Chan Sze Man Vincent,Dr. Chan Sze Man Vincent
Dr. Chan Sze Tong,Dr. Chan Sze Tong
Dr. Chan Tin Yan,Dr. Chan Tin Yan
Dr. Chan Tse Pui,Dr. Chan Tse Pui
Dr. Chan Wai Kuen Edith,Dr. Chan Wai Kuen Edith
Dr. Chan Wai Lo,Dr. Chan Wai Lo
Dr. Chan Yau Tung,Dr. Chan Yau Tung
Dr. Chan Yee Shing,Dr. Chan Yee Shing
Dr. Chan Yuk Wah,Dr. Chan Yuk Wah
Dr. Chang Chee Siu,Dr. Chang Chee Siu
Dr. Chang Kar Leung,Dr. Chang Kar Leung
Dr. Charles Wong & Associates,Dr. Charles Wong & Associates
Dr. Chau Wing Kin,Dr. Chau Wing Kin
Dr. Cheng Chun Fai Clinic,Dr. Cheng Chun Fai Clinic
Dr. Cheng Chung Ping,Dr. Cheng Chung Ping
Dr. Cheng Hing Fai,Dr. Cheng Hing Fai
Dr. Cheng Kin Keung,Dr. Cheng Kin Keung
Dr. Cheong Shao Nean Clinic,Dr. Cheong Shao Nean Clinic
Dr. Cheuk Kwok Leung,Dr. Cheuk Kwok Leung
Dr. Cheung Kwai Kit,Dr. Cheung Kwai Kit
Dr. Cheung Kwok Ming,Dr. Cheung Kwok Ming
